State,Total_Percentage,Larger_Percentage,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska,4.10091E-06,0.041009097,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,3.64075E-05,0.364075152,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
California,2.53086E-08,0.000253086,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado,6.94597E-07,0.006945969,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut,5.60965E-07,0.005609647,,,,,,,,,,,,,,,,,,,,,,,,,
Delaware,1.02694E-06,0.010269429,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,5.65109E-07,0.005651089,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,9.41848E-08,0.000941848,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,1.41256E-06,0.014125571,,,,,,,,,,,,,,,,,,,,,,,,,
Illinois,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,3.41641E-06,0.03416407,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,4.4766E-07,0.004476603,,,,,,,,,,,,,,,,,,,,,,,,,
Louisiana,1.93599E-06,0.01935986,,,,,,,,,,,,,,,,,,,,,,,,,
Maine,2.23179E-06,0.022317908,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland,1.81948E-06,0.01819481,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts,8.70511E-07,0.00870511,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,3.50461E-06,0.035046061,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,2.14553E-05,0.214553006,,,,,,,,,,,,,,,,,,,,,,,,,
Mississippi,1.00801E-06,0.01008014,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,1.79228E-06,0.017922817,,,,,,,,,,,,,,,,,,,,,,,,,
Montana,9.35648E-07,0.00935648,,,,,,,,,,,,,,,,,,,,,,,,,
Nebraska,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,7.79181E-06,0.077918131,,,,,,,,,,,,,,,,,,,,,,,,,
New Jersey,2.13911E-06,0.021391121,,,,,,,,,,,,,,,,,,,,,,,,,
New Mexico,4.76911E-07,0.004769106,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota,1.31223E-06,0.013122292,,,,,,,,,,,,,,,,,,,,,,,,,
Ohio,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,1.08669E-05,0.108668979,,,,,,,,,,,,,,,,,,,,,,,,,
Oregon,7.11282E-07,0.007112819,,,,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,1.88793E-06,0.018879306,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina,1.35956E-06,0.013595628,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,2.92861E-07,0.002928612,,,,,,,,,,,,,,,,,,,,,,,,,
Texas,1.85544E-05,0.185543595,,,,,,,,,,,,,,,,,,,,,,,,,
U. S. Virgin Islands,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,1.02933E-05,0.102933351,,,,,,,,,,,,,,,,,,,,,,,,,
Vermont,1.60259E-06,0.016025924,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,7.02945E-07,0.00702945,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,5.25286E-07,0.005252864,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,5.5799E-06,0.055798994,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,2.18122E-05,0.218121837,,,,,,,,,,,,,,,,,,,,,,,,,
Wyoming,1.72783E-06,0.017278349,,,,,,,,,,,,,,,,,,,,,,,,,
